Question Type,Technology,Difficulty,Question 
MCQs,Python,Intermediate,Which of the following is the correct way to define a function in Python?
Coding,C++,Hard,Implement a C++ function to sort an array using the bubble sort algorithm.
Coding,JavaScript,Intermediate,Write a function to reverse a string in JavaScript.
Coding,Node.js,Intermediate,Write a Node.js script to read a file and log its contents.
Essay,Go,Intermediate,Explain the concept of concurrency in Go and how it differs from parallelism.
Coding,TypeScript,Intermediate,Create a TypeScript function that checks if a string is a palindrome.
Essay,Java,Intermediate,Discuss the advantages and disadvantages of using Java in enterprise applications.
Essay,Java,Intermediate,Discuss the advantages and disadvantages of using Java in enterprise applications.
Essay,Angular,Intermediate,Discuss the advantages of using Angular for front-end development.
Coding,Ruby,Hard,Write a Ruby method to calculate the Fibonacci sequence.
Coding,Angular,Intermediate,Create a simple Angular form with validation.
Coding,Python,Intermediate,Write a Python function to find the factorial of a number.
Essay,TypeScript,Intermediate,Discuss the benefits of using TypeScript in large-scale applications.
Essay,TypeScript,Intermediate,Discuss the benefits of using TypeScript in large-scale applications.
True/False,Python,Hard,Python supports multiple inheritance.
Coding,JavaScript,Hard,Write a function to reverse a string in JavaScript.
Coding,Node.js,Beginner,Write a Node.js script to read a file and log its contents.
Essay,Go,Intermediate,Explain the concept of concurrency in Go and how it differs from parallelism.
Coding,Python,Intermediate,Write a Python function to find the factorial of a number.
Coding,JavaScript,Intermediate,Write a function to reverse a string in JavaScript.
True/False,React,Intermediate,React uses a virtual DOM to improve performance.
True/False,Angular,Intermediate,Angular is primarily used for backend development.
MCQs,Node.js,Hard,Which module in Node.js is used to handle file operations?
Essay,Go,Intermediate,Explain the concept of concurrency in Go and how it differs from parallelism.
Coding,Go,Beginner,Write a Go program to handle concurrent tasks using Goroutines.
Essay,Angular,Beginner,Discuss the advantages of using Angular for front-end development.
True/False,React,Intermediate,React uses a virtual DOM to improve performance.
Coding,JavaScript,Intermediate,Write a function to reverse a string in JavaScript.
MCQs,Python,Beginner,Which of the following is the correct way to define a function in Python?
Coding,TypeScript,Hard,Create a TypeScript function that checks if a string is a palindrome.
True/False,Java,Beginner,"In Java, strings are mutable."
MCQs,Angular,Beginner,What is the role of decorators in Angular?
MCQs,React,Intermediate,Which hook is used to manage state in functional components?
Coding,Ruby,Beginner,Write a Ruby method to calculate the Fibonacci sequence.
Essay,Node.js,Intermediate,Explain how Node.js handles asynchronous operations.
Essay,Java,Intermediate,Discuss the advantages and disadvantages of using Java in enterprise applications.
Essay,Angular,Hard,Discuss the advantages of using Angular for front-end development.
MCQs,Go,Intermediate,What is the purpose of Goroutines in Go?
MCQs,C++,Hard,Which operator is used to allocate memory dynamically in C++?
Coding,Angular,Intermediate,Create a simple Angular form with validation.
Coding,Ruby,Intermediate,Write a Ruby method to calculate the Fibonacci sequence.
Essay,Node.js,Hard,Explain how Node.js handles asynchronous operations.
Coding,Go,Beginner,Write a Go program to handle concurrent tasks using Goroutines.
Essay,Angular,Beginner,Discuss the advantages of using Angular for front-end development.
MCQs,Go,Beginner,What is the purpose of Goroutines in Go?
True/False,React,Intermediate,React uses a virtual DOM to improve performance.
Coding,React,Intermediate,Build a React component that displays a list of items.
Coding,Node.js,Beginner,Write a Node.js script to read a file and log its contents.
True/False,Node.js,Hard,"Node.js uses an event-driven, non-blocking I/O model."
MCQs,TypeScript,Intermediate,How is TypeScript different from JavaScript?
True/False,Go,Hard,Go was developed by Google.
MCQs,TypeScript,Intermediate,How is TypeScript different from JavaScript?
Essay,React,Beginner,Explain how React's component lifecycle works and its significance.
Coding,Go,Hard,Write a Go program to handle concurrent tasks using Goroutines.
Coding,TypeScript,Intermediate,Create a TypeScript function that checks if a string is a palindrome.
Essay,Python,Beginner,Discuss the importance of Python's standard library in development.
MCQs,C++,Beginner,Which operator is used to allocate memory dynamically in C++?
Coding,Angular,Hard,Create a simple Angular form with validation.
Coding,Python,Intermediate,Write a Python function to find the factorial of a number.
True/False,TypeScript,Intermediate,TypeScript is a superset of JavaScript.
Essay,Java,Intermediate,Discuss the advantages and disadvantages of using Java in enterprise applications.
MCQs,TypeScript,Hard,How is TypeScript different from JavaScript?
Essay,Python,Intermediate,Discuss the importance of Python's standard library in development.
MCQs,Node.js,Intermediate,Which module in Node.js is used to handle file operations?
True/False,C++,Hard,C++ allows function overloading.
Essay,JavaScript,Intermediate,Explain the concept of closures in JavaScript and their use cases.
True/False,React,Intermediate,React uses a virtual DOM to improve performance.
MCQs,Ruby,Intermediate,What is a block in Ruby?
Coding,Ruby,Beginner,Write a Ruby method to calculate the Fibonacci sequence.
Essay,React,Beginner,Explain how React's component lifecycle works and its significance.
Essay,Java,Hard,Discuss the advantages and disadvantages of using Java in enterprise applications.
Essay,React,Beginner,Explain how React's component lifecycle works and its significance.
Coding,Ruby,Hard,Write a Ruby method to calculate the Fibonacci sequence.
Essay,React,Intermediate,Explain how React's component lifecycle works and its significance.
True/False,TypeScript,Beginner,TypeScript is a superset of JavaScript.
Coding,Python,Hard,Write a Python function to find the factorial of a number.
Essay,Java,Hard,Discuss the advantages and disadvantages of using Java in enterprise applications.
True/False,Python,Beginner,Python supports multiple inheritance.
True/False,Angular,Beginner,Angular is primarily used for backend development.
True/False,C++,Beginner,C++ allows function overloading.
Essay,React,Beginner,Explain how React's component lifecycle works and its significance.
True/False,Go,Intermediate,Go was developed by Google.
Coding,Ruby,Beginner,Write a Ruby method to calculate the Fibonacci sequence.
Coding,JavaScript,Intermediate,Write a function to reverse a string in JavaScript.
True/False,React,Hard,React uses a virtual DOM to improve performance.
Essay,Python,Hard,Discuss the importance of Python's standard library in development.
Coding,TypeScript,Intermediate,Create a TypeScript function that checks if a string is a palindrome.
True/False,Python,Hard,Python supports multiple inheritance.
Coding,Angular,Hard,Create a simple Angular form with validation.
MCQs,Go,Intermediate,What is the purpose of Goroutines in Go?
Essay,Ruby,Hard,Discuss the pros and cons of using Ruby on Rails for web development.
Coding,Ruby,Hard,Write a Ruby method to calculate the Fibonacci sequence.
Essay,Go,Hard,Explain the concept of concurrency in Go and how it differs from parallelism.
Coding,TypeScript,Intermediate,Create a TypeScript function that checks if a string is a palindrome.
True/False,TypeScript,Hard,TypeScript is a superset of JavaScript.
Coding,JavaScript,Intermediate,Write a function to reverse a string in JavaScript.
Coding,JavaScript,Beginner,Write a function to reverse a string in JavaScript.
Essay,TypeScript,Hard,Discuss the benefits of using TypeScript in large-scale applications.
MCQs,TypeScript,Beginner,How is TypeScript different from JavaScript?
Essay,React,Intermediate,Explain how React's component lifecycle works and its significance.
Essay,Go,Beginner,Explain the concept of concurrency in Go and how it differs from parallelism.
True/False,Python,Intermediate,Python supports multiple inheritance.
MCQs,Python,Hard,Which of the following is the correct way to define a function in Python?
Essay,JavaScript,Intermediate,Explain the concept of closures in JavaScript and their use cases.
Coding,Angular,Beginner,Create a simple Angular form with validation.
True/False,Go,Hard,Go was developed by Google.
MCQs,JavaScript,Beginner,What is 'this' keyword in JavaScript?
True/False,Angular,Beginner,Angular is primarily used for backend development.
True/False,TypeScript,Hard,TypeScript is a superset of JavaScript.
Essay,JavaScript,Beginner,Explain the concept of closures in JavaScript and their use cases.
Essay,Java,Beginner,Discuss the advantages and disadvantages of using Java in enterprise applications.
Essay,JavaScript,Intermediate,Explain the concept of closures in JavaScript and their use cases.
Coding,C++,Intermediate,Implement a C++ function to sort an array using the bubble sort algorithm.
Coding,Go,Hard,Write a Go program to handle concurrent tasks using Goroutines.
Coding,React,Beginner,Build a React component that displays a list of items.
Essay,Node.js,Intermediate,Explain how Node.js handles asynchronous operations.
MCQs,C++,Hard,Which operator is used to allocate memory dynamically in C++?
True/False,Go,Intermediate,Go was developed by Google.
Coding,Node.js,Intermediate,Write a Node.js script to read a file and log its contents.
MCQs,C++,Intermediate,Which operator is used to allocate memory dynamically in C++?
MCQs,Go,Beginner,What is the purpose of Goroutines in Go?
Essay,C++,Intermediate,Explain the differences between stack and heap memory in C++.
Coding,Python,Intermediate,Write a Python function to find the factorial of a number.
True/False,Node.js,Beginner,"Node.js uses an event-driven, non-blocking I/O model."
Coding,React,Hard,Build a React component that displays a list of items.
MCQs,Node.js,Hard,Which module in Node.js is used to handle file operations?
Coding,TypeScript,Intermediate,Create a TypeScript function that checks if a string is a palindrome.
Coding,Node.js,Hard,Write a Node.js script to read a file and log its contents.
Essay,Ruby,Beginner,Discuss the pros and cons of using Ruby on Rails for web development.
True/False,Python,Beginner,Python supports multiple inheritance.
Coding,JavaScript,Beginner,Write a function to reverse a string in JavaScript.
MCQs,Node.js,Intermediate,Which module in Node.js is used to handle file operations?
Coding,Python,Intermediate,Write a Python function to find the factorial of a number.
Essay,Java,Intermediate,Discuss the advantages and disadvantages of using Java in enterprise applications.
Essay,Angular,Intermediate,Discuss the advantages of using Angular for front-end development.
Essay,React,Intermediate,Explain how React's component lifecycle works and its significance.
Coding,C++,Intermediate,Implement a C++ function to sort an array using the bubble sort algorithm.
Coding,React,Intermediate,Build a React component that displays a list of items.
Coding,React,Beginner,Build a React component that displays a list of items.
Coding,Node.js,Intermediate,Write a Node.js script to read a file and log its contents.
True/False,Node.js,Intermediate,"Node.js uses an event-driven, non-blocking I/O model."
MCQs,Go,Hard,What is the purpose of Goroutines in Go?
MCQs,Angular,Hard,What is the role of decorators in Angular?
Essay,JavaScript,Beginner,Explain the concept of closures in JavaScript and their use cases.
True/False,React,Beginner,React uses a virtual DOM to improve performance.
True/False,Ruby,Hard,Ruby is known for its performance in highly concurrent systems.
True/False,React,Beginner,React uses a virtual DOM to improve performance.
True/False,JavaScript,Beginner,JavaScript is a statically typed language.
Coding,Angular,Beginner,Create a simple Angular form with validation.
Essay,Node.js,Hard,Explain how Node.js handles asynchronous operations.
True/False,Java,Intermediate,"In Java, strings are mutable."
MCQs,Node.js,Beginner,Which module in Node.js is used to handle file operations?
True/False,React,Beginner,React uses a virtual DOM to improve performance.
Essay,React,Beginner,Explain how React's component lifecycle works and its significance.
MCQs,React,Intermediate,Which hook is used to manage state in functional components?
Essay,Java,Intermediate,Discuss the advantages and disadvantages of using Java in enterprise applications.
True/False,Java,Intermediate,"In Java, strings are mutable."
MCQs,Node.js,Beginner,Which module in Node.js is used to handle file operations?
True/False,Angular,Hard,Angular is primarily used for backend development.
Coding,Angular,Intermediate,Create a simple Angular form with validation.
Essay,C++,Intermediate,Explain the differences between stack and heap memory in C++.
True/False,Node.js,Beginner,"Node.js uses an event-driven, non-blocking I/O model."
True/False,Go,Beginner,Go was developed by Google.
MCQs,Java,Beginner,What is the purpose of the 'final' keyword in Java?
True/False,React,Hard,React uses a virtual DOM to improve performance.
Coding,Go,Hard,Write a Go program to handle concurrent tasks using Goroutines.
MCQs,Ruby,Hard,What is a block in Ruby?
Coding,Python,Intermediate,Write a Python function to find the factorial of a number.
MCQs,Java,Hard,What is the purpose of the 'final' keyword in Java?
Coding,Ruby,Beginner,Write a Ruby method to calculate the Fibonacci sequence.
Coding,Go,Hard,Write a Go program to handle concurrent tasks using Goroutines.
MCQs,React,Intermediate,Which hook is used to manage state in functional components?
True/False,Go,Beginner,Go was developed by Google.
Essay,Java,Intermediate,Discuss the advantages and disadvantages of using Java in enterprise applications.
Coding,JavaScript,Intermediate,Write a function to reverse a string in JavaScript.
MCQs,Node.js,Beginner,Which module in Node.js is used to handle file operations?
True/False,C++,Intermediate,C++ allows function overloading.
Coding,Python,Beginner,Write a Python function to find the factorial of a number.
MCQs,Angular,Beginner,What is the role of decorators in Angular?
MCQs,Angular,Hard,What is the role of decorators in Angular?
True/False,Node.js,Beginner,"Node.js uses an event-driven, non-blocking I/O model."
Essay,C++,Intermediate,Explain the differences between stack and heap memory in C++.
True/False,Java,Hard,"In Java, strings are mutable."
Essay,Java,Hard,Discuss the advantages and disadvantages of using Java in enterprise applications.
MCQs,Java,Hard,What is the purpose of the 'final' keyword in Java?
True/False,C++,Beginner,C++ allows function overloading.
Essay,Angular,Beginner,Discuss the advantages of using Angular for front-end development.
Essay,Go,Beginner,Explain the concept of concurrency in Go and how it differs from parallelism.
True/False,React,Intermediate,React uses a virtual DOM to improve performance.
Essay,Python,Intermediate,Discuss the importance of Python's standard library in development.
Essay,JavaScript,Hard,Explain the concept of closures in JavaScript and their use cases.
True/False,TypeScript,Beginner,TypeScript is a superset of JavaScript.
Coding,Go,Hard,Write a Go program to handle concurrent tasks using Goroutines.
True/False,Node.js,Beginner,"Node.js uses an event-driven, non-blocking I/O model."
Coding,Ruby,Intermediate,Write a Ruby method to calculate the Fibonacci sequence.
True/False,Ruby,Hard,Ruby is known for its performance in highly concurrent systems.
True/False,Node.js,Beginner,"Node.js uses an event-driven, non-blocking I/O model."
Essay,C++,Intermediate,Explain the differences between stack and heap memory in C++.
Essay,Angular,Beginner,Discuss the advantages of using Angular for front-end development.
True/False,Java,Hard,"In Java, strings are mutable."
Coding,Angular,Hard,Create a simple Angular form with validation.
Essay,React,Beginner,Explain how React's component lifecycle works and its significance.
True/False,React,Beginner,React uses a virtual DOM to improve performance.
Coding,Java,Intermediate,Write a Java program to check if a number is prime.
Essay,C++,Intermediate,Explain the differences between stack and heap memory in C++.
Essay,JavaScript,Intermediate,Explain the concept of closures in JavaScript and their use cases.
MCQs,Java,Intermediate,What is the purpose of the 'final' keyword in Java?
Coding,Angular,Hard,Create a simple Angular form with validation.
Coding,Ruby,Beginner,Write a Ruby method to calculate the Fibonacci sequence.
Coding,Angular,Intermediate,Create a simple Angular form with validation.
Essay,JavaScript,Beginner,Explain the concept of closures in JavaScript and their use cases.
Essay,JavaScript,Hard,Explain the concept of closures in JavaScript and their use cases.
True/False,Python,Hard,Python supports multiple inheritance.
MCQs,Node.js,Intermediate,Which module in Node.js is used to handle file operations?
MCQs,Node.js,Hard,Which module in Node.js is used to handle file operations?
Essay,Angular,Hard,Discuss the advantages of using Angular for front-end development.
Essay,React,Intermediate,Explain how React's component lifecycle works and its significance.
Essay,C++,Intermediate,Explain the differences between stack and heap memory in C++.
Coding,Python,Hard,Write a Python function to find the factorial of a number.
True/False,JavaScript,Hard,JavaScript is a statically typed language.
Essay,React,Hard,Explain how React's component lifecycle works and its significance.
MCQs,Ruby,Hard,What is a block in Ruby?
Essay,C++,Intermediate,Explain the differences between stack and heap memory in C++.
MCQs,Go,Hard,What is the purpose of Goroutines in Go?
True/False,Java,Hard,"In Java, strings are mutable."
Essay,Go,Beginner,Explain the concept of concurrency in Go and how it differs from parallelism.
Essay,React,Beginner,Explain how React's component lifecycle works and its significance.
True/False,React,Intermediate,React uses a virtual DOM to improve performance.
Essay,JavaScript,Hard,Explain the concept of closures in JavaScript and their use cases.
Essay,Python,Intermediate,Discuss the importance of Python's standard library in development.
MCQs,Ruby,Intermediate,What is a block in Ruby?
True/False,Go,Beginner,Go was developed by Google.
Coding,JavaScript,Hard,Write a function to reverse a string in JavaScript.
True/False,React,Beginner,React uses a virtual DOM to improve performance.
MCQs,TypeScript,Hard,How is TypeScript different from JavaScript?
Coding,Python,Hard,Write a Python function to find the factorial of a number.
MCQs,C++,Intermediate,Which operator is used to allocate memory dynamically in C++?
MCQs,C++,Intermediate,Which operator is used to allocate memory dynamically in C++?
True/False,Node.js,Intermediate,"Node.js uses an event-driven, non-blocking I/O model."
Essay,Node.js,Intermediate,Explain how Node.js handles asynchronous operations.
MCQs,Python,Beginner,Which of the following is the correct way to define a function in Python?
Essay,Python,Beginner,Discuss the importance of Python's standard library in development.
MCQs,Node.js,Beginner,Which module in Node.js is used to handle file operations?
Coding,Python,Intermediate,Write a Python function to find the factorial of a number.
MCQs,Angular,Beginner,What is the role of decorators in Angular?
True/False,Angular,Hard,Angular is primarily used for backend development.
Essay,C++,Hard,Explain the differences between stack and heap memory in C++.
Essay,C++,Hard,Explain the differences between stack and heap memory in C++.
Essay,C++,Intermediate,Explain the differences between stack and heap memory in C++.
MCQs,Angular,Beginner,What is the role of decorators in Angular?
Essay,Go,Beginner,Explain the concept of concurrency in Go and how it differs from parallelism.
Essay,TypeScript,Intermediate,Discuss the benefits of using TypeScript in large-scale applications.
Coding,Python,Intermediate,Write a Python function to find the factorial of a number.
Coding,Ruby,Beginner,Write a Ruby method to calculate the Fibonacci sequence.
Essay,Node.js,Hard,Explain how Node.js handles asynchronous operations.
Essay,Python,Beginner,Discuss the importance of Python's standard library in development.
Essay,Ruby,Hard,Discuss the pros and cons of using Ruby on Rails for web development.
MCQs,Node.js,Hard,Which module in Node.js is used to handle file operations?
MCQs,C++,Intermediate,Which operator is used to allocate memory dynamically in C++?
Coding,Go,Beginner,Write a Go program to handle concurrent tasks using Goroutines.
Essay,JavaScript,Hard,Explain the concept of closures in JavaScript and their use cases.
True/False,Ruby,Intermediate,Ruby is known for its performance in highly concurrent systems.
MCQs,Angular,Hard,What is the role of decorators in Angular?
Coding,Angular,Intermediate,Create a simple Angular form with validation.
True/False,Java,Intermediate,"In Java, strings are mutable."
MCQs,JavaScript,Beginner,What is 'this' keyword in JavaScript?
Essay,Go,Beginner,Explain the concept of concurrency in Go and how it differs from parallelism.
Essay,Go,Intermediate,Explain the concept of concurrency in Go and how it differs from parallelism.
Coding,Java,Hard,Write a Java program to check if a number is prime.
True/False,Python,Hard,Python supports multiple inheritance.
True/False,TypeScript,Hard,TypeScript is a superset of JavaScript.
True/False,TypeScript,Intermediate,TypeScript is a superset of JavaScript.
MCQs,React,Beginner,Which hook is used to manage state in functional components?
Coding,Angular,Beginner,Create a simple Angular form with validation.
MCQs,Ruby,Beginner,What is a block in Ruby?
Coding,Angular,Hard,Create a simple Angular form with validation.
Essay,Node.js,Hard,Explain how Node.js handles asynchronous operations.
Coding,Go,Intermediate,Write a Go program to handle concurrent tasks using Goroutines.
Coding,Node.js,Hard,Write a Node.js script to read a file and log its contents.
MCQs,TypeScript,Beginner,How is TypeScript different from JavaScript?
MCQs,Python,Beginner,Which of the following is the correct way to define a function in Python?
Essay,Python,Intermediate,Discuss the importance of Python's standard library in development.
Essay,Angular,Intermediate,Discuss the advantages of using Angular for front-end development.
MCQs,Go,Intermediate,What is the purpose of Goroutines in Go?
Essay,JavaScript,Beginner,Explain the concept of closures in JavaScript and their use cases.
True/False,Ruby,Hard,Ruby is known for its performance in highly concurrent systems.
Coding,Go,Hard,Write a Go program to handle concurrent tasks using Goroutines.
Essay,TypeScript,Intermediate,Discuss the benefits of using TypeScript in large-scale applications.
True/False,C++,Beginner,C++ allows function overloading.
MCQs,Ruby,Hard,What is a block in Ruby?
True/False,TypeScript,Hard,TypeScript is a superset of JavaScript.
MCQs,Go,Beginner,What is the purpose of Goroutines in Go?
MCQs,JavaScript,Intermediate,What is 'this' keyword in JavaScript?
Essay,Node.js,Hard,Explain how Node.js handles asynchronous operations.
True/False,C++,Hard,C++ allows function overloading.
Coding,React,Beginner,Build a React component that displays a list of items.
Coding,Ruby,Beginner,Write a Ruby method to calculate the Fibonacci sequence.
MCQs,Angular,Beginner,What is the role of decorators in Angular?
Coding,Python,Hard,Write a Python function to find the factorial of a number.
MCQs,React,Hard,Which hook is used to manage state in functional components?
Coding,Node.js,Hard,Write a Node.js script to read a file and log its contents.
MCQs,JavaScript,Intermediate,What is 'this' keyword in JavaScript?
MCQs,Angular,Intermediate,What is the role of decorators in Angular?
Coding,TypeScript,Intermediate,Create a TypeScript function that checks if a string is a palindrome.
Essay,Python,Hard,Discuss the importance of Python's standard library in development.
Essay,JavaScript,Beginner,Explain the concept of closures in JavaScript and their use cases.
MCQs,Java,Intermediate,What is the purpose of the 'final' keyword in Java?
Essay,JavaScript,Beginner,Explain the concept of closures in JavaScript and their use cases.
True/False,Node.js,Intermediate,"Node.js uses an event-driven, non-blocking I/O model."
MCQs,Java,Intermediate,What is the purpose of the 'final' keyword in Java?
MCQs,C++,Hard,Which operator is used to allocate memory dynamically in C++?
True/False,Python,Intermediate,Python supports multiple inheritance.
MCQs,Node.js,Hard,Which module in Node.js is used to handle file operations?
Coding,TypeScript,Hard,Create a TypeScript function that checks if a string is a palindrome.
Essay,C++,Hard,Explain the differences between stack and heap memory in C++.
True/False,Python,Intermediate,Python supports multiple inheritance.
Coding,Ruby,Hard,Write a Ruby method to calculate the Fibonacci sequence.
Essay,Python,Beginner,Discuss the importance of Python's standard library in development.
MCQs,Python,Hard,Which of the following is the correct way to define a function in Python?
Essay,C++,Hard,Explain the differences between stack and heap memory in C++.
Essay,Python,Hard,Discuss the importance of Python's standard library in development.
True/False,Node.js,Hard,"Node.js uses an event-driven, non-blocking I/O model."
Essay,Ruby,Beginner,Discuss the pros and cons of using Ruby on Rails for web development.
True/False,Ruby,Intermediate,Ruby is known for its performance in highly concurrent systems.
MCQs,C++,Hard,Which operator is used to allocate memory dynamically in C++?
Coding,Go,Hard,Write a Go program to handle concurrent tasks using Goroutines.
MCQs,Node.js,Beginner,Which module in Node.js is used to handle file operations?
True/False,Node.js,Intermediate,"Node.js uses an event-driven, non-blocking I/O model."
True/False,TypeScript,Intermediate,TypeScript is a superset of JavaScript.
True/False,Java,Hard,"In Java, strings are mutable."
MCQs,Angular,Hard,What is the role of decorators in Angular?
Coding,Java,Beginner,Write a Java program to check if a number is prime.
Coding,Ruby,Intermediate,Write a Ruby method to calculate the Fibonacci sequence.
MCQs,Java,Beginner,What is the purpose of the 'final' keyword in Java?
Essay,Ruby,Beginner,Discuss the pros and cons of using Ruby on Rails for web development.
Essay,Go,Beginner,Explain the concept of concurrency in Go and how it differs from parallelism.
Essay,Ruby,Intermediate,Discuss the pros and cons of using Ruby on Rails for web development.
Coding,Go,Intermediate,Write a Go program to handle concurrent tasks using Goroutines.
MCQs,TypeScript,Beginner,How is TypeScript different from JavaScript?
Essay,React,Hard,Explain how React's component lifecycle works and its significance.
MCQs,Python,Hard,Which of the following is the correct way to define a function in Python?
MCQs,Go,Intermediate,What is the purpose of Goroutines in Go?
MCQs,TypeScript,Hard,How is TypeScript different from JavaScript?
Essay,Angular,Beginner,Discuss the advantages of using Angular for front-end development.
Essay,Ruby,Beginner,Discuss the pros and cons of using Ruby on Rails for web development.
Essay,JavaScript,Hard,Explain the concept of closures in JavaScript and their use cases.
True/False,Go,Intermediate,Go was developed by Google.
MCQs,Java,Hard,What is the purpose of the 'final' keyword in Java?
MCQs,Go,Beginner,What is the purpose of Goroutines in Go?
MCQs,JavaScript,Hard,What is 'this' keyword in JavaScript?
Essay,Angular,Beginner,Discuss the advantages of using Angular for front-end development.
True/False,TypeScript,Intermediate,TypeScript is a superset of JavaScript.
MCQs,Angular,Hard,What is the role of decorators in Angular?
Coding,JavaScript,Intermediate,Write a function to reverse a string in JavaScript.
Essay,Python,Hard,Discuss the importance of Python's standard library in development.
Coding,TypeScript,Hard,Create a TypeScript function that checks if a string is a palindrome.
